# FABRICATED FIXTURE - not a measurement. One closed task with a full close-fill.
label	task_dispatches	EXACT (hook-counted ALLOW decisions at PreToolUse, in sessions where the gate is loaded; attempts, not completions)
label	tool_events	EXACT (hook-counted PreToolUse events in sessions where the gate is loaded)
label	exploratory_events	EXACT (hook-counted read-class events - the explore half of the explore/execute split)
label	mutation_events	EXACT (hook-counted ADMITTED mutation-capable calls)
label	token_proxy	ESTIMATE (sum of tool-input chars / 4 - a chars-based proxy; NEVER billing truth and never promoted to a higher tier)
label	tokens	unavailable_live in interactive sessions (tier UNAVAILABLE); close-time reconciliation via telemetry where headless (tier CLOSE-TIME)
2026-08-01T09:00:07Z	tool_event	tool_name=Read chars=900
2026-08-01T09:00:14Z	tool_event	tool_name=Read chars=937
2026-08-01T09:00:21Z	tool_event	tool_name=Read chars=974
2026-08-01T09:00:28Z	tool_event	tool_name=Read chars=1011
2026-08-01T09:00:35Z	tool_event	tool_name=Read chars=1048
2026-08-01T09:00:42Z	tool_event	tool_name=Read chars=1085
2026-08-01T09:00:49Z	tool_event	tool_name=Read chars=1122
2026-08-01T09:00:56Z	tool_event	tool_name=Read chars=1159
2026-08-01T09:01:03Z	tool_event	tool_name=Read chars=1196
2026-08-01T09:01:10Z	tool_event	tool_name=Read chars=1233
2026-08-01T09:01:17Z	tool_event	tool_name=Read chars=1270
2026-08-01T09:01:24Z	tool_event	tool_name=Read chars=1307
2026-08-01T09:01:31Z	tool_event	tool_name=Read chars=1344
2026-08-01T09:01:38Z	tool_event	tool_name=Read chars=1381
2026-08-01T09:01:45Z	tool_event	tool_name=Read chars=1418
2026-08-01T09:01:52Z	tool_event	tool_name=Read chars=1455
2026-08-01T09:01:59Z	tool_event	tool_name=Read chars=1492
2026-08-01T09:02:06Z	tool_event	tool_name=Read chars=1529
2026-08-01T09:02:13Z	tool_event	tool_name=Read chars=1566
2026-08-01T09:02:20Z	tool_event	tool_name=Read chars=1603
2026-08-01T09:02:27Z	tool_event	tool_name=Read chars=1640
2026-08-01T09:02:34Z	tool_event	tool_name=Read chars=1677
2026-08-01T09:02:41Z	tool_event	tool_name=Read chars=1714
2026-08-01T09:02:48Z	tool_event	tool_name=Read chars=1751
2026-08-01T09:02:55Z	tool_event	tool_name=Read chars=1788
2026-08-01T09:03:02Z	tool_event	tool_name=Read chars=1825
2026-08-01T09:03:09Z	tool_event	tool_name=Read chars=1862
2026-08-01T09:03:16Z	tool_event	tool_name=Read chars=1899
2026-08-01T09:03:23Z	tool_event	tool_name=Read chars=1936
2026-08-01T09:03:30Z	tool_event	tool_name=Read chars=1973
2026-08-01T09:03:37Z	tool_event	tool_name=Read chars=2010
2026-08-01T09:03:44Z	tool_event	tool_name=Read chars=2047
2026-08-01T09:03:51Z	tool_event	tool_name=Read chars=2084
2026-08-01T09:03:58Z	tool_event	tool_name=Read chars=2121
2026-08-01T09:04:05Z	tool_event	tool_name=Read chars=2158
2026-08-01T09:04:12Z	tool_event	tool_name=Read chars=2195
2026-08-01T09:04:19Z	tool_event	tool_name=Read chars=2232
2026-08-01T09:04:26Z	tool_event	tool_name=Read chars=2269
2026-08-01T09:04:33Z	tool_event	tool_name=Read chars=2306
2026-08-01T09:04:40Z	tool_event	tool_name=Read chars=2343
2026-08-01T09:04:47Z	tool_event	tool_name=Read chars=2380
2026-08-01T09:04:50Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:04:53Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:04:56Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:04:59Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:02Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:05Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:08Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:11Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:14Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:17Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:20Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:23Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:26Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:29Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:32Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:35Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:38Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:41Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:44Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:47Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:50Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:53Z	exploratory_event	tool_name=Read source=read_class
2026-08-01T09:05:58Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:03Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:08Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:13Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:18Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:23Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:28Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:33Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:38Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:43Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:48Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:06:53Z	mutation_event	tool_name=Edit class=mutation
2026-08-01T09:07:04Z	task_dispatch	subagent_type=verification attributed=task_execution
2026-08-01T09:07:15Z	task_dispatch	subagent_type=verification attributed=task_execution
2026-08-01T09:07:28Z	process_dispatch	subagent_type=implementation attributed=governance_process
