file	kind	decode_hits	domain_hits
build-os/compiler/compile/semantic.mjs	report_generator	1	7
build-os/maintenance/rotate-memory.rootscan.test.mjs	report_generator	1	1
build-os/metrics/rank-candidates.sh	report_generator	1	12
build-os/registry/scan-controls.sh	registry_scanner	3	45
build-os/registry/scan-mutators.sh	registry_scanner	2	14
build-os/tools/evidence-policy.sh	report_generator	3	48
tests/anchor_consumer_tests.sh	suite_assertion	1	9
tests/authority_envelope_tests.sh	suite_assertion	2	64
tests/bandwidth_tests.sh	suite_assertion	1	5
tests/claim_evidence_tests.sh	suite_assertion	2	63
tests/compiler_capsule_tests.sh	suite_assertion	3	3
tests/compiler_expansion_tests.sh	suite_assertion	1	4
tests/control_registry_tests.sh	suite_assertion	16	98
tests/evidence_policy_tests.sh	suite_assertion	5	98
tests/memory_kernel_tests.sh	suite_assertion	1	30
tests/mutator_registry_tests.sh	suite_assertion	3	61
tests/routing_live_gate_tests.sh	suite_assertion	1	16
tests/speed_benchmark_tests.sh	suite_assertion	6	38
